種番号,和名,学名,属,属（日本語）,科,科（日本語）,目,目（日本語）,亜種
16,コハクチョウ,Cygnus columbianus,CYGNUS,ハクチョウ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
16-1,アメリカコハクチョウ,Cygnus columbianus columbianus,CYGNUS,ハクチョウ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
16-2,コハクチョウ,Cygnus columbianus bewickii,CYGNUS,ハクチョウ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
17,オオハクチョウ,Cygnus cygnus,CYGNUS,ハクチョウ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
17-1,ダルマインコ,Psittacula alexandri fasciata,PSITTACULA,ダルマインコ属,PSITTACULIDAE,インコ科（和名検討中）,PSITTACIFORMES,インコ目,亜種
18,ツクシガモ,Tadorna tadorna,TADORNA,ツクシガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
19,アカツクシガモ,Tadorna ferruginea,TADORNA,ツクシガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
19-1,ワカケホンセイインコ,Psittacula krameri manillensis,PSITTACULA,ダルマインコ属,PSITTACULIDAE,インコ科（和名検討中）,PSITTACIFORMES,インコ目,亜種
20,カンムリツクシガモ,Tadorna cristata,TADORNA,ツクシガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
21,オシドリ,Aix galericulata,AIX,オシドリ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
22,ナンキンオシ,Nettapus coromandelianus,NETTAPUS,ナンキンオシ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
22-1,ナンキンオシ,Nettapus coromandelianus coromandelianus,NETTAPUS,ナンキンオシ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
23,トモエガモ,Sibirionetta formosa,SIBIRIONETTA,トモエガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
24,シマアジ,Spatula querquedula,SPATULA,ハシビロガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
24-1,シチトウメジロ,Zosterops japonicus stejnegeri,ZOSTEROPS,メジロ属,ZOSTEROPIDAE,メジロ科,PASSERIFORMES,スズメ目,亜種
24-2,イオウトウメジロ,Zosterops japonicus alani,ZOSTEROPS,メジロ属,ZOSTEROPIDAE,メジロ科,PASSERIFORMES,スズメ目,亜種
25,ミカヅキシマアジ,Spatula discors,SPATULA,ハシビロガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
26,ハシビロガモ,Spatula clypeata,SPATULA,ハシビロガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
27,オカヨシガモ,Mareca strepera,MARECA,ヨシガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
27-1,オカヨシガモ,Mareca strepera strepera,MARECA,ヨシガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
28,ヨシガモ,Mareca falcata,MARECA,ヨシガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
29,ヒドリガモ,Mareca penelope,MARECA,ヨシガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
30,アメリカヒドリ,Mareca americana,MARECA,ヨシガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
30-1,ハッカチョウ,Acridotheres cristatellus cristatellus,ACRIDOTHERES,ハッカチョウ属,STURNIDAE,ムクドリ科,PASSERIFORMES,スズメ目,亜種
31,アカノドカルガモ,Anas luzonica,ANAS,マガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
32,カルガモ,Anas zonorhyncha,ANAS,マガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
33,マガモ,Anas platyrhynchos,ANAS,マガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
33-1,マガモ,Anas platyrhynchos platyrhynchos,ANAS,マガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
34,オナガガモ,Anas acuta,ANAS,マガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
35,コガモ,Anas crecca,ANAS,マガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
35-1,コガモ,Anas crecca crecca,ANAS,マガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
35-2,アメリカコガモ,Anas crecca carolinensis,ANAS,マガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
36,アカハシハジロ,Netta rufina,NETTA,アカハシハジロ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
37,オオホシハジロ,Aythya valisineria,AYTHYA,スズガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
38,アメリカホシハジロ,Aythya americana,AYTHYA,スズガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
38-1,シマキンパラ,Lonchura punctulata topela,LONCHURA,キンパラ属,ESTRILDIDAE,カエデチョウ科,PASSERIFORMES,スズメ目,亜種
39,ホシハジロ,Aythya ferina,AYTHYA,スズガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
40,アカハジロ,Aythya baeri,AYTHYA,スズガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
41,メジロガモ,Aythya nyroca,AYTHYA,スズガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
42,クビワキンクロ,Aythya collaris,AYTHYA,スズガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
43,キンクロハジロ,Aythya fuligula,AYTHYA,スズガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
44,スズガモ,Aythya marila,AYTHYA,スズガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
44-1,スズガモ,Aythya marila marila,AYTHYA,スズガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
45,コスズガモ,Aythya affinis,AYTHYA,スズガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
46,コケワタガモ,Polysticta stelleri,POLYSTICTA,コケワタガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
47,ケワタガモ,Somateria spectabilis,SOMATERIA,ケワタガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
48,シノリガモ,Histrionicus histrionicus,HISTRIONICUS,シノリガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
49,アラナミキンクロ,Melanitta perspicillata,MELANITTA,ビロードキンクロ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
50,アメリカビロードキンクロ,Melanitta deglandi,MELANITTA,ビロードキンクロ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
51,ビロードキンクロ,Melanitta stejnegeri,MELANITTA,ビロードキンクロ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
52,クロガモ,Melanitta americana,MELANITTA,ビロードキンクロ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
53,コオリガモ,Clangula hyemalis,CLANGULA,コオリガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
54,ヒメハジロ,Bucephala albeola,BUCEPHALA,ホオジロガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
55,ホオジロガモ,Bucephala clangula,BUCEPHALA,ホオジロガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
55-1,ホオジロガモ,Bucephala clangula clangula,BUCEPHALA,ホオジロガモ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
56,ミコアイサ,Mergellus albellus,MERGELLUS,ミコアイサ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
57,オウギアイサ,Lophodytes cucullatus,LOPHODYTES,オウギアイサ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
58,カワアイサ,Mergus merganser,MERGUS,ウミアイサ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
58-1,カワアイサ（和名検討中）,Mergus merganser merganser,MERGUS,ウミアイサ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
58-2,コカワアイサ（和名検討中）,Mergus merganser orientalis,MERGUS,ウミアイサ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,亜種
59,ウミアイサ,Mergus serrator,MERGUS,ウミアイサ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
60,コウライアイサ,Mergus squamatus,MERGUS,ウミアイサ属,ANATIDAE,カモ科,ANSERIFORMES,カモ目,種
61,エゾライチョウ,Tetrastes bonasia,TETRASTES,エゾライチョウ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,種
61-1,エゾライチョウ,Tetrastes bonasia vicinitas,TETRASTES,エゾライチョウ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
62,ライチョウ,Lagopus muta,LAGOPUS,ライチョウ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,種
62-1,ライチョウ,Lagopus muta japonica,LAGOPUS,ライチョウ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
63,ヤマドリ,Syrmaticus soemmerringii,SYRMATICUS,ヤマドリ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,種
63-1,ヤマドリ,Syrmaticus soemmerringii scintillans,SYRMATICUS,ヤマドリ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
63-2,ウスアカヤマドリ,Syrmaticus soemmerringii subrufus,SYRMATICUS,ヤマドリ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
63-3,シコクヤマドリ,Syrmaticus soemmerringii intermedius,SYRMATICUS,ヤマドリ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
63-4,アカヤマドリ,Syrmaticus soemmerringii soemmerringii,SYRMATICUS,ヤマドリ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
63-5,コシジロヤマドリ,Syrmaticus soemmerringii ijimae,SYRMATICUS,ヤマドリ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
64,キジ,Phasianus versicolor,PHASIANUS,キジ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,種
64-1,キジ,Phasianus versicolor robustipes,PHASIANUS,キジ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
64-2,トウカイキジ,Phasianus versicolor tohkaidi,PHASIANUS,キジ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
64-3,シマキジ,Phasianus versicolor tanensis,PHASIANUS,キジ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
64-4,キュウシュウキジ,Phasianus versicolor versicolor,PHASIANUS,キジ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,亜種
65,ウズラ,Coturnix japonica,COTURNIX,ウズラ属,PHASIANIDAE,キジ科,GALLIFORMES,キジ目,種
66,ヨタカ,Caprimulgus jotaka,CAPRIMULGUS,ヨタカ属,CAPRIMULGIDAE,ヨタカ科,CAPRIMULGIFORMES,ヨタカ目,種
66-1,ヨタカ,Caprimulgus jotaka jotaka,CAPRIMULGUS,ヨタカ属,CAPRIMULGIDAE,ヨタカ科,CAPRIMULGIFORMES,ヨタカ目,亜種
67,ハリオアマツバメ,Hirundapus caudacutus,HIRUNDAPUS,ハリオアマツバメ属,APODIDAE,アマツバメ科,APODIFORMES,アマツバメ目,種
67-1,ハリオアマツバメ,Hirundapus caudacutus caudacutus,HIRUNDAPUS,ハリオアマツバメ属,APODIDAE,アマツバメ科,APODIFORMES,アマツバメ目,亜種
68,クロビタイハリオアマツバメ,Hirundapus cochinchinensis,HIRUNDAPUS,ハリオアマツバメ属,APODIDAE,アマツバメ科,APODIFORMES,アマツバメ目,種
69,アマツバメ,Apus pacificus,APUS,アマツバメ属,APODIDAE,アマツバメ科,APODIFORMES,アマツバメ目,種
69-1,キタアマツバメ,Apus pacificus pacificus,APUS,アマツバメ属,APODIDAE,アマツバメ科,APODIFORMES,アマツバメ目,亜種
69-2,アマツバメ,Apus pacificus kurodae,APUS,アマツバメ属,APODIDAE,アマツバメ科,APODIFORMES,アマツバメ目,亜種
70,ヒメアマツバメ,Apus nipalensis,APUS,アマツバメ属,APODIDAE,アマツバメ科,APODIFORMES,アマツバメ目,種
70-1,ヒメアマツバメ,Apus nipalensis kuntzi,APUS,アマツバメ属,APODIDAE,アマツバメ科,APODIFORMES,アマツバメ目,亜種
71,ノガン,Otis tarda,OTIS,ノガン属,OTIDIDAE,ノガン科,OTIDIFORMES,ノガン目,種
71-1,ノガン,Otis tarda dybowskii,OTIS,ノガン属,OTIDIDAE,ノガン科,OTIDIFORMES,ノガン目,亜種
72,ヒメノガン,Tetrax tetrax,TETRAX,ヒメノガン属,OTIDIDAE,ノガン科,OTIDIFORMES,ノガン目,種
73,バンケン,Centropus bengalensis,CENTROPUS,バンケン属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
73-1,バンケン,Centropus bengalensis lignator,CENTROPUS,バンケン属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,亜種
74,カンムリカッコウ,Clamator coromandus,CLAMATOR,カンムリカッコウ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
75,オニカッコウ,Eudynamys scolopaceus,EUDYNAMYS,オニカッコウ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
76,キジカッコウ,Urodynamis taitensis,URODYNAMIS,キジカッコウ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
77,ヒメカッコウ,Cacomantis merulinus,CACOMANTIS,ヒメカッコウ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
78,オウチュウカッコウ,Surniculus lugubris,SURNICULUS,オウチュウカッコウ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
79,オオジュウイチ,Hierococcyx sparverioides,HIEROCOCCYX,ジュウイチ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
80,ジュウイチ,Hierococcyx hyperythrus,HIEROCOCCYX,ジュウイチ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
81,ホトトギス,Cuculus poliocephalus,CUCULUS,カッコウ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
82,セグロカッコウ,Cuculus micropterus,CUCULUS,カッコウ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
82-1,セグロカッコウ,Cuculus micropterus micropterus,CUCULUS,カッコウ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,亜種
83,ツツドリ,Cuculus optatus,CUCULUS,カッコウ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
84,カッコウ,Cuculus canorus,CUCULUS,カッコウ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,種
84-1,カッコウ,Cuculus canorus telephonus,CUCULUS,カッコウ属,CUCULIDAE,カッコウ科,CUCULIFORMES,カッコウ目,亜種
85,サケイ,Syrrhaptes paradoxus,SYRRHAPTES,サケイ属,PTEROCLIDAE,サケイ科,PTEROCLIFORMES,サケイ目,種
86,ヒメモリバト,Columba oenas,COLUMBA,カワラバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,種
87,カラスバト,Columba janthina,COLUMBA,カワラバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,種
87-1,カラスバト,Columba janthina janthina,COLUMBA,カワラバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,亜種
87-2,アカガシラカラスバト,Columba janthina nitens,COLUMBA,カワラバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,亜種
87-3,ヨナグニカラスバト,Columba janthina stejnegeri,COLUMBA,カワラバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,亜種
88,オガサワラカラスバト,Columba versicolor,COLUMBA,カワラバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,種
89,リュウキュウカラスバト,Columba jouyi,COLUMBA,カワラバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,種
90,キジバト,Streptopelia orientalis,STREPTOPELIA,キジバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,種
90-1,キジバト,Streptopelia orientalis orientalis,STREPTOPELIA,キジバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,亜種
90-2,リュウキュウキジバト,Streptopelia orientalis stimpsoni,STREPTOPELIA,キジバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,亜種
91,シラコバト,Streptopelia decaocto,STREPTOPELIA,キジバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,種
92,ベニバト,Streptopelia tranquebarica,STREPTOPELIA,キジバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,種
92-1,ベニバト,Streptopelia tranquebarica humilis,STREPTOPELIA,キジバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,亜種
93,キンバト,Chalcophaps indica,CHALCOPHAPS,キンバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,種
93-1,キンバト,Chalcophaps indica yamashinai,CHALCOPHAPS,キンバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,亜種
94,アオバト,Treron sieboldii,TRERON,アオバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,種
94-1,アオバト,Treron sieboldii sieboldii,TRERON,アオバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,亜種
95,ズアカアオバト,Treron formosae,TRERON,アオバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,種
95-1,ズアカアオバト,Treron formosae permagnus,TRERON,アオバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,亜種
95-2,チュウダイズアカアオバト,Treron formosae medioximus,TRERON,アオバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,亜種
96,クロアゴヒメアオバト,Ptilinopus leclancheri,PTILINOPUS,ヒメアオバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,種
96-1,クロアゴヒメアオバト,Ptilinopus leclancheri taiwanus,PTILINOPUS,ヒメアオバト属,COLUMBIDAE,ハト科,COLUMBIFORMES,ハト目,亜種
97,クイナ,Rallus indicus,RALLUS,クイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
98,ウズラクイナ,Crex crex,CREX,ウズラクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
99,ミナミクイナ,Lewinia striata,LEWINIA,ミナミクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
100,ヤンバルクイナ,Hypotaenidia okinawae,HYPOTAENIDIA,ヤンバルクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
101,バン,Gallinula chloropus,GALLINULA,バン属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
101-1,バン,Gallinula chloropus chloropus,GALLINULA,バン属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,亜種
102,オオバン,Fulica atra,FULICA,オオバン属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
102-1,オオバン,Fulica atra atra,FULICA,オオバン属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,亜種
103,シマクイナ,Coturnicops exquisitus,COTURNICOPS,シマクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
104,ヒクイナ,Zapornia fusca,ZAPORNIA,ヒメクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
104-1,ヒクイナ,Zapornia fusca erythrothorax,ZAPORNIA,ヒメクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,亜種
104-2,リュウキュウヒクイナ,Zapornia fusca phaeopyga,ZAPORNIA,ヒメクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,亜種
105,コウライクイナ,Zapornia paykullii,ZAPORNIA,ヒメクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
106,ヒメクイナ,Zapornia pusilla,ZAPORNIA,ヒメクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
106-1,ヒメクイナ,Zapornia pusilla pusilla,ZAPORNIA,ヒメクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,亜種
107,オオクイナ,Rallina eurizonoides,RALLINA,オオクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
107-1,オオクイナ,Rallina eurizonoides sepiaria,RALLINA,オオクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,亜種
108,マミジロクイナ,Poliolimnas cinereus,POLIOLIMNAS,マミジロクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
108-1,マミジロクイナ,Poliolimnas cinereus brevipes,POLIOLIMNAS,マミジロクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,亜種
109,ツルクイナ,Gallicrex cinerea,GALLICREX,ツルクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
110,シロハラクイナ,Amaurornis phoenicurus,AMAURORNIS,シロハラクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,種
110-1,シロハラクイナ,Amaurornis phoenicurus phoenicurus,AMAURORNIS,シロハラクイナ属,RALLIDAE,クイナ科,GRUIFORMES,ツル目,亜種
111,ソデグロヅル,Leucogeranus leucogeranus,LEUCOGERANUS,ソデグロヅル属,GRUIDAE,ツル科,GRUIFORMES,ツル目,種
112,カナダヅル,Antigone canadensis,ANTIGONE,マナヅル属,GRUIDAE,ツル科,GRUIFORMES,ツル目,種
112-1,カナダヅル,Antigone canadensis canadensis,ANTIGONE,マナヅル属,GRUIDAE,ツル科,GRUIFORMES,ツル目,亜種
113,マナヅル,Antigone vipio,ANTIGONE,マナヅル属,GRUIDAE,ツル科,GRUIFORMES,ツル目,種
114,アネハヅル,Anthropoides virgo,ANTHROPOIDES,アネハヅル属,GRUIDAE,ツル科,GRUIFORMES,ツル目,種
115,タンチョウ,Grus japonensis,GRUS,ツル属（和名検討中）,GRUIDAE,ツル科,GRUIFORMES,ツル目,種
116,クロヅル,Grus grus,GRUS,ツル属（和名検討中）,GRUIDAE,ツル科,GRUIFORMES,ツル目,種
116-1,クロヅル,Grus grus lilfordi,GRUS,ツル属（和名検討中）,GRUIDAE,ツル科,GRUIFORMES,ツル目,亜種
117,ナベヅル,Grus monacha,GRUS,ツル属（和名検討中）,GRUIDAE,ツル科,GRUIFORMES,ツル目,種
118,カイツブリ,Tachybaptus ruficollis,TACHYBAPTUS,カイツブリ属,PODICIPEDIDAE,カイツブリ科,PODICIPEDIFORMES,カイツブリ目,種
118-1,カイツブリ,Tachybaptus ruficollis poggei,TACHYBAPTUS,カイツブリ属,PODICIPEDIDAE,カイツブリ科,PODICIPEDIFORMES,カイツブリ目,亜種
118-2,ダイトウカイツブリ,Tachybaptus ruficollis kunikyonis,TACHYBAPTUS,カイツブリ属,PODICIPEDIDAE,カイツブリ科,PODICIPEDIFORMES,カイツブリ目,亜種
119,アカエリカイツブリ,Podiceps grisegena,PODICEPS,カンムリカイツブリ属,PODICIPEDIDAE,カイツブリ科,PODICIPEDIFORMES,カイツブリ目,種
119-1,アカエリカイツブリ,Podiceps grisegena holbollii,PODICEPS,カンムリカイツブリ属,PODICIPEDIDAE,カイツブリ科,PODICIPEDIFORMES,カイツブリ目,亜種
120,カンムリカイツブリ,Podiceps cristatus,PODICEPS,カンムリカイツブリ属,PODICIPEDIDAE,カイツブリ科,PODICIPEDIFORMES,カイツブリ目,種
120-1,カンムリカイツブリ,Podiceps cristatus cristatus,PODICEPS,カンムリカイツブリ属,PODICIPEDIDAE,カイツブリ科,PODICIPEDIFORMES,カイツブリ目,亜種
121,ミミカイツブリ,Podiceps auritus,PODICEPS,カンムリカイツブリ属,PODICIPEDIDAE,カイツブリ科,PODICIPEDIFORMES,カイツブリ目,種
121-1,ミミカイツブリ,Podiceps auritus auritus,PODICEPS,カンムリカイツブリ属,PODICIPEDIDAE,カイツブリ科,PODICIPEDIFORMES,カイツブリ目,亜種
122,ハジロカイツブリ,Podiceps nigricollis,PODICEPS,カンムリカイツブリ属,PODICIPEDIDAE,カイツブリ科,PODICIPEDIFORMES,カイツブリ目,種
122-1,ハジロカイツブリ,Podiceps nigricollis nigricollis,PODICEPS,カンムリカイツブリ属,PODICIPEDIDAE,カイツブリ科,PODICIPEDIFORMES,カイツブリ目,亜種
123,ミフウズラ,Turnix suscitator,TURNIX,ミフウズラ属,TURNICIDAE,ミフウズラ科,CHARADRIIFORMES,チドリ目,種
123-1,ミフウズラ,Turnix suscitator okinavensis,TURNIX,ミフウズラ属,TURNICIDAE,ミフウズラ科,CHARADRIIFORMES,チドリ目,亜種
124,ミヤコドリ,Haematopus ostralegus,HAEMATOPUS,ミヤコドリ属,HAEMATOPODIDAE,ミヤコドリ科,CHARADRIIFORMES,チドリ目,種
124-1,ミヤコドリ,Haematopus ostralegus osculans,HAEMATOPUS,ミヤコドリ属,HAEMATOPODIDAE,ミヤコドリ科,CHARADRIIFORMES,チドリ目,亜種
125,セイタカシギ,Himantopus himantopus,HIMANTOPUS,セイタカシギ属,RECURVIROSTRIDAE,セイタカシギ科,CHARADRIIFORMES,チドリ目,種
126,オーストラリアセイタカシギ,Himantopus leucocephalus,HIMANTOPUS,セイタカシギ属,RECURVIROSTRIDAE,セイタカシギ科,CHARADRIIFORMES,チドリ目,種
127,ソリハシセイタカシギ,Recurvirostra avosetta,RECURVIROSTRA,ソリハシセイタカシギ属,RECURVIROSTRIDAE,セイタカシギ科,CHARADRIIFORMES,チドリ目,種
128,タゲリ,Vanellus vanellus,VANELLUS,タゲリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
129,ケリ,Vanellus cinereus,VANELLUS,タゲリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
130,ヨーロッパムナグロ,Pluvialis apricaria,PLUVIALIS,ムナグロ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
131,ムナグロ,Pluvialis fulva,PLUVIALIS,ムナグロ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
132,ダイゼン,Pluvialis squatarola,PLUVIALIS,ムナグロ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
133,ハジロコチドリ,Charadrius hiaticula,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
133-1,ハジロコチドリ,Charadrius hiaticula tundrae,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,亜種
134,ミズカキチドリ,Charadrius semipalmatus,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
135,イカルチドリ,Charadrius placidus,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
136,コチドリ,Charadrius dubius,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
136-1,コチドリ,Charadrius dubius curonicus,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,亜種
137,シロチドリ,Charadrius alexandrinus,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
137-1,ハシボソシロチドリ,Charadrius alexandrinus alexandrinus,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,亜種
137-2,シロチドリ,Charadrius alexandrinus nihonensis,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,亜種
138,オオメダイチドリ,Charadrius leschenaultii,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
