和名・学名リスト
Part A
Order ANSERIFORMES カモ目
Family ANATIDAE カモ科
DENDROCYGNA リュウキュウガモ属
1. Dendrocygna javanica リュウキュウガモ
BRANTA コクガン属
2. Branta bernicla コクガン
2-1. Branta bernicla nigricans コクガン
3. Branta ruficollis アオガン
4. Branta canadensis カナダガン
4-1. Branta canadensis parvipes チュウカナダガン
5. Branta hutchinsii シジュウカラガン
5-1. Branta hutchinsii leucopareia シジュウカラガン
5-2. Branta hutchinsii minima ヒメシジュウカラガン
5-U. Branta hutchinsii ssp. 亜種不明
ANSER マガン属
6. Anser indicus インドガン
7. Anser canagicus ミカドガン
8. Anser caerulescens ハクガン
8-1. Anser caerulescens caerulescens ハクガン
9. Anser anser ハイイロガン
9-1. Anser anser rubrirostris ハイイロガン
10. Anser cygnoid サカツラガン
11. Anser fabalis ヒシクイ
11-1. Anser fabalis middendorffii オオヒシクイ
11-2. Anser fabalis rossicus ヒメヒシクイ
11-3. Anser fabalis serrirostris ヒシクイ
12. Anser albifrons マガン
12-1. Anser albifrons albifrons マガン
12-U. Anser albifrons ssp. 亜種不明
13. Anser erythropus カリガネ
CYGNUS ハクチョウ属
14. Cygnus olor コブハクチョウ
15. Cygnus buccinator ナキハクチョウ
16. Cygnus columbianus コハクチョウ
16-1. Cygnus columbianus columbianus アメリカコハクチョウ
16-2. Cygnus columbianus bewickii コハクチョウ
17. Cygnus cygnus オオハクチョウ
TADORNA ツクシガモ属
18. Tadorna tadorna ツクシガモ
19. Tadorna ferruginea アカツクシガモ
20. Tadorna cristata カンムリツクシガモ
AIX オシドリ属
21. Aix galericulata オシドリ
NETTAPUS ナンキンオシ属
22. Nettapus coromandelianus ナンキンオシ
22-1. Nettapus coromandelianus coromandelianus ナンキンオシ
SIBIRIONETTA トモエガモ属
23. Sibirionetta formosa トモエガモ
SPATULA ハシビロガモ属
24. Spatula querquedula シマアジ
25. Spatula discors ミカヅキシマアジ
26. Spatula clypeata ハシビロガモ
MARECA ヨシガモ属
27. Mareca strepera オカヨシガモ
27-1. Mareca strepera strepera オカヨシガモ
28. Mareca falcata ヨシガモ
29. Mareca penelope ヒドリガモ
30. Mareca americana アメリカヒドリ
ANAS マガモ属
31. Anas luzonica アカノドカルガモ
32. Anas zonorhyncha カルガモ
33. Anas platyrhynchos マガモ
33-1. Anas platyrhynchos platyrhynchos マガモ
34. Anas acuta オナガガモ
35. Anas crecca コガモ
35-1. Anas crecca crecca コガモ
35-2. Anas crecca carolinensis アメリカコガモ
NETTA アカハシハジロ属
36. Netta rufina アカハシハジロ
AYTHYA スズガモ属
37. Aythya valisineria オオホシハジロ
38. Aythya americana アメリカホシハジロ
39. Aythya ferina ホシハジロ
40. Aythya baeri アカハジロ
41. Aythya nyroca メジロガモ
42. Aythya collaris クビワキンクロ
43. Aythya fuligula キンクロハジロ
44. Aythya marila スズガモ
44-1. Aythya marila marila スズガモ
45. Aythya affinis コスズガモ
POLYSTICTA コケワタガモ属
46. Polysticta stelleri コケワタガモ
SOMATERIA ケワタガモ属
47. Somateria spectabilis ケワタガモ
HISTRIONICUS シノリガモ属
48. Histrionicus histrionicus シノリガモ
MELANITTA ビロードキンクロ属
49. Melanitta perspicillata アラナミキンクロ
50. Melanitta deglandi アメリカビロードキンクロ
51. Melanitta stejnegeri ビロードキンクロ
52. Melanitta americana クロガモ
CLANGULA コオリガモ属
53. Clangula hyemalis コオリガモ
BUCEPHALA ホオジロガモ属
54. Bucephala albeola ヒメハジロ
55. Bucephala clangula ホオジロガモ
55-1. Bucephala clangula clangula ホオジロガモ
MERGELLUS ミコアイサ属
56. Mergellus albellus ミコアイサ
LOPHODYTES オウギアイサ属
57. Lophodytes cucullatus オウギアイサ
MERGUS ウミアイサ属
58. Mergus merganser カワアイサ
58-1. Mergus merganser merganser カワアイサ（和名検討中）
58-2. Mergus merganser orientalis コカワアイサ（和名検討中）
59. Mergus serrator ウミアイサ
60. Mergus squamatus コウライアイサ
Order GALLIFORMES キジ目
Family PHASIANIDAE キジ科
TETRASTES エゾライチョウ属
61. Tetrastes bonasia エゾライチョウ
61-1. Tetrastes bonasia vicinitas エゾライチョウ
LAGOPUS ライチョウ属
62. Lagopus muta ライチョウ
62-1. Lagopus muta japonica ライチョウ
SYRMATICUS ヤマドリ属
63. Syrmaticus soemmerringii ヤマドリ
63-1. Syrmaticus soemmerringii scintillans ヤマドリ
63-2. Syrmaticus soemmerringii subrufus ウスアカヤマドリ
63-3. Syrmaticus soemmerringii intermedius シコクヤマドリ
63-4. Syrmaticus soemmerringii soemmerringii アカヤマドリ
63-5. Syrmaticus soemmerringii ijimae コシジロヤマドリ
63-U. Syrmaticus soemmerringii ssp. 亜種不明
PHASIANUS キジ属
64. Phasianus versicolor キジ
64-1. Phasianus versicolor robustipes キジ
64-2. Phasianus versicolor tohkaidi トウカイキジ
64-3. Phasianus versicolor tanensis シマキジ
64-4. Phasianus versicolor versicolor キュウシュウキジ
64-U. Phasianus versicolor ssp. 亜種不明
COTURNIX ウズラ属
65. Coturnix japonica ウズラ
Order CAPRIMULGIFORMES ヨタカ目
Family CAPRIMULGIDAE ヨタカ科
CAPRIMULGUS ヨタカ属
66. Caprimulgus jotaka ヨタカ
66-1. Caprimulgus jotaka jotaka ヨタカ
Order APODIFORMES アマツバメ目
Family APODIDAE アマツバメ科
HIRUNDAPUS ハリオアマツバメ属
67. Hirundapus caudacutus ハリオアマツバメ
67-1. Hirundapus caudacutus caudacutus ハリオアマツバメ
68. Hirundapus cochinchinensis クロビタイハリオアマツバメ
APUS アマツバメ属
69. Apus pacificus アマツバメ
69-1. Apus pacificus pacificus キタアマツバメ
69-2. Apus pacificus kurodae アマツバメ
70. Apus nipalensis ヒメアマツバメ
70-1. Apus nipalensis kuntzi ヒメアマツバメ
Order OTIDIFORMES ノガン目
Family OTIDIDAE ノガン科
OTIS ノガン属
71. Otis tarda ノガン
71-1. Otis tarda dybowskii ノガン
TETRAX ヒメノガン属
72. Tetrax tetrax ヒメノガン
Order CUCULIFORMES カッコウ目
Family CUCULIDAE カッコウ科
CENTROPUS バンケン属
73. Centropus bengalensis バンケン
73-1. Centropus bengalensis lignator バンケン
CLAMATOR カンムリカッコウ属
74. Clamator coromandus カンムリカッコウ
EUDYNAMYS オニカッコウ属
75. Eudynamys scolopaceus オニカッコウ
75-U. Eudynamys scolopaceus ssp. 亜種不明
URODYNAMIS キジカッコウ属
76. Urodynamis taitensis キジカッコウ
CACOMANTIS ヒメカッコウ属
77. Cacomantis merulinus ヒメカッコウ
77-U. Cacomantis merulinus ssp. 亜種不明
SURNICULUS オウチュウカッコウ属
